province,year,in_migration,out_migration,net_migration,net_migration_rate
Hakkari,2023,14956,12732,2224,7.8
Hatay,2023,37068,164247,-127179,-79.1
Isparta,2023,25149,21847,3302,7.4
Iğdır,2023,12781,10830,1951,9.3
Kahramanmaraş,2023,31582,82119,-50537,-44.3
Karabük,2023,17977,14615,3362,13.3
Karaman,2023,15156,11829,3327,12.7
Kars,2023,15376,16382,-1006,-3.6
Kastamonu,2023,30284,17608,12676,33.1
Kayseri,2023,47180,46791,389,0.3
Kilis,2023,12750,7604,5146,33.7
Kocaeli,2023,92564,81219,11345,5.4
Konya,2023,75214,61210,14004,6.1
Kütahya,2023,24281,28405,-4124,-7.1
Kırklareli,2023,22171,14336,7835,21.0
Kırıkkale,2023,23664,13403,10261,36.6
Kırşehir,2023,16475,12735,3740,15.2
Malatya,2023,34414,102621,-68207,-87.8
Manisa,2023,46467,42259,4208,2.9
Mardin,2023,37903,33904,3999,4.5
Mersin,2023,80493,67409,13084,6.8
Muğla,2023,63562,40554,23008,21.8
Muş,2023,18904,22595,-3691,-9.2
Nevşehir,2023,19072,13307,5765,18.4
Niğde,2023,26089,15991,10098,27.1
Ordu,2023,43974,29843,14131,18.4
Osmaniye,2023,27059,30896,-3837,-6.9
Rize,2023,24347,18372,5975,17.2
Sakarya,2023,47730,33515,14215,13.0
Samsun,2023,65364,50570,14794,10.8
Siirt,2023,21120,16468,4652,13.5
Sinop,2023,20887,11499,9388,41.7
Sivas,2023,48214,31783,16431,25.6
Tekirdağ,2023,63230,45182,18048,15.6
Tokat,2023,45011,34546,10465,17.4
Trabzon,2023,41272,35644,5628,6.9
Tunceli,2023,11806,7234,4572,52.5
Uşak,2023,14575,13122,1453,3.9
Van,2023,39585,56547,-16962,-14.9
Yalova,2023,22979,12563,10416,34.8
Yozgat,2023,29124,22387,6737,16.1
Zonguldak,2023,26828,22615,4213,7.1
Çanakkale,2023,32719,22615,10104,17.9
Çankırı,2023,25333,13438,11895,59.6
Çorum,2023,27902,20273,7629,14.5
İstanbul,2023,412707,581330,-168623,-10.7
İzmir,2023,147765,125643,22122,5.0
Şanlıurfa,2023,63205,63559,-354,-0.2
Şırnak,2023,22726,21572,1154,2.0
Adana,2024,55342,56108,-766,-0.3
Adıyaman,2024,22295,21158,1137,1.9
Afyonkarahisar,2024,20801,25035,-4234,-5.6
Aksaray,2024,13969,14893,-924,-2.1
Amasya,2024,13879,14446,-567,-1.7
Ankara,2024,202402,150373,52029,8.9
Antalya,2024,96618,71999,24619,9.1
Ardahan,2024,4570,6441,-1871,-20.3
Artvin,2024,7670,10400,-2730,-16.0
Aydın,2024,40849,35832,5017,4.3
Ağrı,2024,14411,30970,-16559,-32.6
Balıkesir,2024,44834,40371,4463,3.5
Bartın,2024,9439,9569,-130,-0.6
Batman,2024,20987,22923,-1936,-3.0
Bayburt,2024,5644,8639,-2995,-35.2
Bilecik,2024,10023,10038,-15,-0.1
Bingöl,2024,10029,13794,-3765,-13.2
Bitlis,2024,13700,18195,-4495,-12.4
Bolu,2024,13869,13362,507,1.6
Burdur,2024,11746,13550,-1804,-6.5
Bursa,2024,81656,66440,15216,4.7
Denizli,2024,25866,24816,1050,1.0
Diyarbakır,2024,43561,50981,-7420,-4.0
Düzce,2024,15051,13450,1601,3.9
Edirne,2024,17332,16323,1009,2.4
Elazığ,2024,20035,23315,-3280,-5.4
Erzincan,2024,12737,15638,-2901,-12.0
Erzurum,2024,22614,34522,-11908,-15.9
Eskişehir,2024,35984,29165,6819,7.4
Gaziantep,2024,56097,49330,6767,3.1
Giresun,2024,17348,22932,-5584,-12.2
Gümüşhane,2024,12288,18526,-6238,-42.8
Hakkari,2024,8478,14112,-5634,-19.8
Hatay,2024,52193,49835,2358,1.5
Isparta,2024,18046,19526,-1480,-3.3
Iğdır,2024,8000,11778,-3778,-18.1
Kahramanmaraş,2024,37523,30393,7130,6.3
Karabük,2024,10481,14090,-3609,-14.3
Karaman,2024,10319,11846,-1527,-5.8
Kars,2024,9588,16560,-6972,-25.3
Kastamonu,2024,15894,20854,-4960,-12.9
Kayseri,2024,37960,36622,1338,0.9
Kilis,2024,7503,8041,-538,-3.4
Kocaeli,2024,80804,63593,17211,8.1
Konya,2024,53971,56234,-2263,-1.0
Kütahya,2024,18364,20502,-2138,-3.7
Kırklareli,2024,15265,14128,1137,3.0
Kırıkkale,2024,13584,16881,-3297,-11.6
Kırşehir,2024,11390,12511,-1121,-4.6
Malatya,2024,36932,31790,5142,6.9
Manisa,2024,37649,37328,321,0.2
Mardin,2024,26712,31788,-5076,-5.6
Mersin,2024,60574,54703,5871,3.0
Muğla,2024,48895,36378,12517,11.6
Muş,2024,12009,22879,-10870,-27.3
Nevşehir,2024,14417,13133,1284,4.0
Niğde,2024,13271,18496,-5225,-13.9
Ordu,2024,24324,29933,-5609,-7.3
Osmaniye,2024,19752,20460,-708,-1.3
Rize,2024,13448,17592,-4144,-11.9
Sakarya,2024,37116,30501,6615,6.0
Samsun,2024,46841,43246,3595,2.6
Siirt,2024,10193,21815,-11622,-34.0
Sinop,2024,10903,13075,-2172,-9.5
Sivas,2024,21808,35421,-13613,-21.1
Tekirdağ,2024,53439,37996,15443,13.1
Tokat,2024,38697,32350,6347,10.4
Trabzon,2024,26772,29887,-3115,-3.8
Tunceli,2024,6739,8868,-2129,-24.3
Uşak,2024,11053,11886,-833,-2.2
Van,2024,31418,54023,-22605,-20.0
Yalova,2024,17812,13049,4763,15.6
Yozgat,2024,16151,24594,-8443,-20.2
Zonguldak,2024,18070,21563,-3493,-5.9
Çanakkale,2024,24714,21211,3503,6.2
Çankırı,2024,13129,18744,-5615,-27.7
Çorum,2024,16415,23143,-6728,-12.8
İstanbul,2024,395485,369453,26032,1.7
İzmir,2024,117889,102040,15849,3.5
Şanlıurfa,2024,41771,60925,-19154,-8.5
Şırnak,2024,15266,23363,-8097,-14.1
Adana,2025,49680,55959,-6279,-2.7
Adıyaman,2025,19965,19344,621,1.0
Afyonkarahisar,2025,19864,21498,-1634,-2.2
Aksaray,2025,12270,12941,-671,-1.5
Amasya,2025,12458,13119,-661,-1.9
Ankara,2025,176833,145661,31172,5.3
Antalya,2025,96027,67649,28378,10.3
Ardahan,2025,4914,5916,-1002,-11.0
Artvin,2025,7329,8928,-1599,-9.5
Aydın,2025,37711,32935,4776,4.1
Ağrı,2025,14899,28346,-13447,-27.0
Balıkesir,2025,44397,35209,9188,7.2
Bartın,2025,8227,8114,113,0.5
Batman,2025,21076,21176,-100,-0.2
Bayburt,2025,5064,6388,-1324,-15.9
Bilecik,2025,9632,9514,118,0.5
Bingöl,2025,9123,11683,-2560,-9.0
Bitlis,2025,13861,17844,-3983,-11.0
Bolu,2025,13136,11695,1441,4.4
Burdur,2025,11184,12106,-922,-3.3
Bursa,2025,75595,64880,10715,3.3
Denizli,2025,23327,23946,-619,-0.6
Diyarbakır,2025,43666,50322,-6656,-3.6
Düzce,2025,14112,12156,1956,4.7
Edirne,2025,16145,15261,884,2.1
Elazığ,2025,18481,19491,-1010,-1.7
Erzincan,2025,11798,13352,-1554,-6.5
Erzurum,2025,20793,30906,-10113,-13.6
Eskişehir,2025,34386,28330,6056,6.5
Gaziantep,2025,54507,47385,7122,3.2
Giresun,2025,16717,17047,-330,-0.7
Gümüşhane,2025,9919,13163,-3244,-23.1
Hakkari,2025,8952,12305,-3353,-11.9
Hatay,2025,51440,45076,6364,4.0
Isparta,2025,16315,17554,-1239,-2.8
Iğdır,2025,7876,10257,-2381,-11.5
Kahramanmaraş,2025,32151,28689,3462,3.0
Karabük,2025,10263,11251,-988,-4.0
Karaman,2025,9440,10933,-1493,-5.7
Kars,2025,9727,14201,-4474,-16.5
Kastamonu,2025,14997,15731,-734,-1.9
Kayseri,2025,34606,33645,961,0.7
Kilis,2025,7501,8859,-1358,-8.6
Kocaeli,2025,76323,61245,15078,7.0
Konya,2025,50469,51507,-1038,-0.4
Kütahya,2025,16701,17157,-456,-0.8
Kırklareli,2025,14516,13501,1015,2.7
Kırıkkale,2025,12287,12845,-558,-2.0
Kırşehir,2025,9729,10902,-1173,-4.8
Malatya,2025,31495,28410,3085,4.1
Manisa,2025,33408,35673,-2265,-1.5
Mardin,2025,28043,31842,-3799,-4.2
Mersin,2025,57089,52054,5035,2.6
Muğla,2025,47400,35426,11974,10.9
Muş,2025,12061,18995,-6934,-17.7
Nevşehir,2025,13090,12037,1053,3.3
Niğde,2025,13405,13748,-343,-0.9
Ordu,2025,22394,24529,-2135,-2.8
Osmaniye,2025,19293,19532,-239,-0.4
Rize,2025,12436,13362,-926,-2.7
Sakarya,2025,35743,27837,7906,7.1
Samsun,2025,43566,37793,5773,4.2
Siirt,2025,10203,16704,-6501,-19.4
Sinop,2025,10719,11050,-331,-1.5
Sivas,2025,19978,26832,-6854,-10.8
Tekirdağ,2025,51534,38294,13240,11.0
Tokat,2025,32800,32220,580,0.9
Trabzon,2025,23846,24253,-407,-0.5
Tunceli,2025,6078,7558,-1480,-17.2
Uşak,2025,9557,10465,-908,-2.4
Van,2025,31580,51818,-20238,-18.0
Yalova,2025,18052,11733,6319,20.5
Yozgat,2025,17181,18550,-1369,-3.3
Zonguldak,2025,17143,18135,-992,-1.7
Çanakkale,2025,23546,19075,4471,7.8
Çankırı,2025,13516,12774,742,3.7
Çorum,2025,15597,17208,-1611,-3.1
İstanbul,2025,329912,371258,-41346,-2.6
İzmir,2025,106083,98728,7355,1.6
Şanlıurfa,2025,43655,59280,-15625,-6.9
Şırnak,2025,14227,19924,-5697,-9.9
