date,bulletin_no,currency_code,currency_unit,forex_buying,forex_selling
2026-04-13,2026/70,JPY,100,27.8804,28.0650
2026-04-13,2026/70,KRW,1,0.02983,0.03022
2026-04-13,2026/70,KWD,1,144.7898,146.6844
2026-04-13,2026/70,KZT,1,0.09335,0.09457
2026-04-13,2026/70,NOK,1,4.6900,4.7216
2026-04-13,2026/70,PKR,1,0.15913,0.16121
2026-04-13,2026/70,QAR,1,12.1747,12.3340
2026-04-13,2026/70,RON,1,10.1882,10.3215
2026-04-13,2026/70,RUB,1,0.58203,0.58964
2026-04-13,2026/70,SAR,1,11.8939,11.9153
2026-04-13,2026/70,SEK,1,4.7714,4.8208
2026-04-13,2026/70,USD,1,44.6355,44.7159
2026-04-14,2026/71,AED,1,12.0888,12.2470
2026-04-14,2026/71,AUD,1,31.6648,31.8713
2026-04-14,2026/71,AZN,1,26.1159,26.4577
2026-04-14,2026/71,CAD,1,32.3969,32.5430
2026-04-14,2026/71,CHF,1,57.0359,57.4021
2026-04-14,2026/71,CNY,1,6.5132,6.5984
2026-04-14,2026/71,DKK,1,7.0320,7.0665
2026-04-14,2026/71,EUR,1,52.6281,52.7229
2026-04-14,2026/71,GBP,1,60.3686,60.6833
2026-04-14,2026/71,JPY,100,28.0160,28.2015
2026-04-14,2026/71,KRW,1,0.03012,0.03052
2026-04-14,2026/71,KWD,1,144.9228,146.8192
2026-04-14,2026/71,KZT,1,0.09321,0.09443
2026-04-14,2026/71,NOK,1,4.7251,4.7568
2026-04-14,2026/71,PKR,1,0.15917,0.16126
2026-04-14,2026/71,QAR,1,12.1779,12.3373
2026-04-14,2026/71,RON,1,10.2788,10.4133
2026-04-14,2026/71,RUB,1,0.58493,0.59258
2026-04-14,2026/71,SAR,1,11.8971,11.9186
2026-04-14,2026/71,SEK,1,4.8525,4.9027
2026-04-14,2026/71,USD,1,44.6474,44.7278
2026-04-15,2026/72,AED,1,12.0926,12.2508
2026-04-15,2026/72,AUD,1,31.8228,32.0303
2026-04-15,2026/72,AZN,1,26.1281,26.4699
2026-04-15,2026/72,CAD,1,32.3833,32.5293
2026-04-15,2026/72,CHF,1,57.0137,57.3798
2026-04-15,2026/72,CNY,1,6.5132,6.5984
2026-04-15,2026/72,DKK,1,7.0324,7.0670
2026-04-15,2026/72,EUR,1,52.6350,52.7298
2026-04-15,2026/72,GBP,1,60.4546,60.7697
2026-04-15,2026/72,JPY,100,28.0362,28.2219
2026-04-15,2026/72,KRW,1,0.03010,0.03049
2026-04-15,2026/72,KWD,1,144.9900,146.8872
2026-04-15,2026/72,KZT,1,0.09373,0.09495
2026-04-15,2026/72,NOK,1,4.7195,4.7512
2026-04-15,2026/72,PKR,1,0.15927,0.16136
2026-04-15,2026/72,QAR,1,12.1836,12.3430
2026-04-15,2026/72,RON,1,10.2803,10.4149
2026-04-15,2026/72,RUB,1,0.58908,0.59679
2026-04-15,2026/72,SAR,1,11.9055,11.9269
2026-04-15,2026/72,SEK,1,4.8362,4.8863
2026-04-15,2026/72,USD,1,44.6681,44.7485
2026-04-16,2026/73,AED,1,12.0956,12.2539
2026-04-16,2026/73,AUD,1,31.9861,32.1947
2026-04-16,2026/73,AZN,1,26.1343,26.4763
2026-04-16,2026/73,CAD,1,32.5055,32.6521
2026-04-16,2026/73,CHF,1,56.9515,57.3171
2026-04-16,2026/73,CNY,1,6.5151,6.6003
2026-04-16,2026/73,DKK,1,7.0363,7.0709
2026-04-16,2026/73,EUR,1,52.6651,52.7600
2026-04-16,2026/73,GBP,1,60.4479,60.7630
2026-04-16,2026/73,JPY,100,28.0424,28.2280
2026-04-16,2026/73,KRW,1,0.03011,0.03051
2026-04-16,2026/73,KWD,1,145.0958,146.9944
2026-04-16,2026/73,KZT,1,0.09442,0.09566
2026-04-16,2026/73,NOK,1,4.7454,4.7773
2026-04-16,2026/73,PKR,1,0.15931,0.16140
2026-04-16,2026/73,QAR,1,12.1855,12.3450
2026-04-16,2026/73,RON,1,10.2842,10.4187
2026-04-16,2026/73,RUB,1,0.58336,0.59099
2026-04-16,2026/73,SAR,1,11.9092,11.9307
2026-04-16,2026/73,SEK,1,4.8487,4.8989
2026-04-16,2026/73,USD,1,44.6788,44.7593
2026-04-17,2026/74,AED,1,12.1011,12.2594
2026-04-17,2026/74,AUD,1,31.9808,32.1894
2026-04-17,2026/74,AZN,1,26.1461,26.4882
2026-04-17,2026/74,CAD,1,32.6317,32.7789
2026-04-17,2026/74,CHF,1,56.9675,57.3332
2026-04-17,2026/74,CNY,1,6.5135,6.5987
2026-04-17,2026/74,DKK,1,7.0403,7.0748
